iteration, optimization, area, delay, power, best_area, best_delay, best_power
1, strash, 232.0, 670.45, 3.31e-06
30, refactor -N 12 M 0, 245.0, 706.43, 3.28e-06, 210.0; 669.49; 2.92e-06; 23; 21, 284.0; 587.71; 4.22e-06; 14; 33, 243.0; 727.91; 2.49e-06; 13; 44
31, resub -K 12, 246.0, 705.84, 3.43e-06, 210.0; 669.49; 2.92e-06; 23; 21, 284.0; 587.71; 4.22e-06; 14; 33, 243.0; 727.91; 2.49e-06; 13; 44
32, refactor -N 15, 246.0, 705.84, 3.43e-06, 210.0; 669.49; 2.92e-06; 23; 21, 284.0; 587.71; 4.22e-06; 14; 33, 243.0; 727.91; 2.49e-06; 13; 44
33, resub -z, 246.0, 705.84, 3.43e-06, 210.0; 669.49; 2.92e-06; 23; 21, 284.0; 587.71; 4.22e-06; 14; 33, 243.0; 727.91; 2.49e-06; 13; 44
34, refactor -M 0, 258.0, 710.37, 3.22e-06, 210.0; 669.49; 2.92e-06; 23; 21, 284.0; 587.71; 4.22e-06; 14; 33, 243.0; 727.91; 2.49e-06; 13; 44
35, rewrite, 254.0, 670.53, 3.31e-06, 210.0; 669.49; 2.92e-06; 23; 21, 284.0; 587.71; 4.22e-06; 14; 33, 243.0; 727.91; 2.49e-06; 13; 44
36, resub -z, 254.0, 670.53, 3.31e-06, 210.0; 669.49; 2.92e-06; 23; 21, 284.0; 587.71; 4.22e-06; 14; 33, 243.0; 727.91; 2.49e-06; 13; 44
37, refactor -N 15, 254.0, 670.53, 3.31e-06, 210.0; 669.49; 2.92e-06; 23; 21, 284.0; 587.71; 4.22e-06; 14; 33, 243.0; 727.91; 2.49e-06; 13; 44
38, refactor, 254.0, 670.53, 3.31e-06, 210.0; 669.49; 2.92e-06; 23; 21, 284.0; 587.71; 4.22e-06; 14; 33, 243.0; 727.91; 2.49e-06; 13; 44
39, refactor -z, 253.0, 643.14, 3.5e-06, 210.0; 669.49; 2.92e-06; 23; 21, 284.0; 587.71; 4.22e-06; 14; 33, 243.0; 727.91; 2.49e-06; 13; 44
40, refactor -M 0, 256.0, 663.32, 3.24e-06, 210.0; 669.49; 2.92e-06; 23; 21, 284.0; 587.71; 4.22e-06; 14; 33, 243.0; 727.91; 2.49e-06; 13; 44
41, refactor, 256.0, 663.32, 3.24e-06, 210.0; 669.49; 2.92e-06; 23; 21, 284.0; 587.71; 4.22e-06; 14; 33, 243.0; 727.91; 2.49e-06; 13; 44
42, resub -M 0, 256.0, 663.32, 3.24e-06, 210.0; 669.49; 2.92e-06; 23; 21, 284.0; 587.71; 4.22e-06; 14; 33, 243.0; 727.91; 2.49e-06; 13; 44
43, rewrite, 256.0, 663.32, 3.24e-06, 210.0; 669.49; 2.92e-06; 23; 21, 284.0; 587.71; 4.22e-06; 14; 33, 243.0; 727.91; 2.49e-06; 13; 44
44, resub, 256.0, 663.32, 3.24e-06, 210.0; 669.49; 2.92e-06; 23; 21, 284.0; 587.71; 4.22e-06; 14; 33, 243.0; 727.91; 2.49e-06; 13; 44
45, refactor -z, 253.0, 643.14, 3.5e-06, 210.0; 669.49; 2.92e-06; 23; 21, 284.0; 587.71; 4.22e-06; 14; 33, 243.0; 727.91; 2.49e-06; 13; 44
46, resub -N 3, 253.0, 643.14, 3.5e-06, 210.0; 669.49; 2.92e-06; 23; 21, 284.0; 587.71; 4.22e-06; 14; 33, 243.0; 727.91; 2.49e-06; 13; 44
47, resub -z, 253.0, 643.14, 3.5e-06, 210.0; 669.49; 2.92e-06; 23; 21, 284.0; 587.71; 4.22e-06; 14; 33, 243.0; 727.91; 2.49e-06; 13; 44
48, rewrite -z, 239.0, 642.9, 3.61e-06, 210.0; 669.49; 2.92e-06; 23; 21, 284.0; 587.71; 4.22e-06; 14; 33, 243.0; 727.91; 2.49e-06; 13; 44
49, rewrite -z, 227.0, 671.85, 3.3e-06, 210.0; 669.49; 2.92e-06; 23; 21, 284.0; 587.71; 4.22e-06; 14; 33, 243.0; 727.91; 2.49e-06; 13; 44
50, resub -K 12, 227.0, 671.85, 3.3e-06, 210.0; 669.49; 2.92e-06; 23; 21, 284.0; 587.71; 4.22e-06; 14; 33, 243.0; 727.91; 2.49e-06; 13; 44
